423ms dev-vda.device
334ms systemd-vconsole-setup.service
258ms sshd-keygen.service
157ms systemd-modules-load.service
133ms systemd-udev-trigger.service
100ms systemd-networkd.service
 88ms systemd-journald.service
 83ms home-chessbender.mount
 83ms systemd-oomd.service
 82ms suid-sgid-wrappers.service
 82ms systemd-timesyncd.service
 70ms systemd-resolved.service
 60ms systemd-fsck@dev-vdb.service
 60ms systemd-journalctl.socket
 59ms sys-kernel-debug.mount
 58ms sys-kernel-tracing.mount
 58ms systemd-tmpfiles-setup-dev-early.service
 57ms dev-mqueue.mount
 55ms kmod-static-nodes.service
 55ms dev-hugepages.mount
 54ms lastlog2-import.service
 54ms modprobe@configfs.service
 51ms sys-fs-fuse-connections.mount
 50ms systemd-remount-fs.service
 50ms user@1000.service
 47ms systemd-udevd.service
 45ms sys-kernel-config.mount
 43ms systemd-logind.service
 32ms systemd-journal-flush.service
 31ms seatd.service
 29ms logrotate-checkconf.service
 28ms systemd-random-seed.service
 28ms post-boot.service
 25ms nscd.service
 21ms systemd-tmpfiles-setup-dev.service
 19ms systemd-user-sessions.service
 17ms systemd-journal-catalog-update.service
 15ms dbus-broker.service
 13ms systemd-sysctl.service
 11ms sshd-vsock.socket
 11ms systemd-tmpfiles-setup.service
  9ms systemd-networkd-persistent-storage.service
  9ms linger-users.service
  8ms systemd-update-utmp.service
  8ms sshd.service
  7ms run-wrappers.mount
  6ms user-runtime-dir@1000.service
  4ms systemd-update-done.service
  2ms dbus.socket
529us sshd-unix-local.socket
404us systemd-coredump.socket
254us systemd-bootctl.socket
232us systemd-creds.socket
 51us systemd-journald-dev-log.socket
 31us systemd-journald-audit.socket
 22us systemd-journald.socket
 20us systemd-oomd.socket
 20us systemd-udevd-control.socket
 18us systemd-hostnamed.socket
 15us systemd-networkd-varlink-metrics.socket
 10us systemd-networkd.socket
  9us systemd-udevd-kernel.socket
  7us systemd-rfkill.socket
