Module                  Size  Used by
ext4                 1175552  1
crc16                  12288  1 ext4
mbcache                20480  1 ext4
jbd2                  204800  1 ext4
edac_core             114688  0
intel_rapl_msr         20480  0
intel_rapl_common      53248  1 intel_rapl_msr
kvm_amd               245760  0
ccp                   192512  1 kvm_amd
kvm                  1409024  1 kvm_amd
af_packet              69632  2
evdev                  32768  2
mac_hid                16384  0
irqbypass              16384  1 kvm
polyval_clmulni        12288  0
virtio_net            131072  0
ghash_clmulni_intel    12288  0
aesni_intel            98304  0
tiny_power_button      12288  0
net_failover           24576  1 virtio_net
failover               16384  1 net_failover
rtc_cmos               28672  1
intel_agp              24576  0
intel_gtt              32768  1 intel_agp
button                 28672  0
cfg80211             1449984  0
rfkill                 45056  2 cfg80211
sch_fq_codel           28672  2
virtio_gpu            114688  0
virtio_dma_buf         12288  1 virtio_gpu
uinput                 24576  0
loop                   49152  0
atkbd                  40960  0
libps2                 24576  1 atkbd
serio                  32768  1 atkbd
vivaldi_fmap           12288  1 atkbd
configfs               69632  1
nfnetlink              24576  2
dmi_sysfs              28672  0
qemu_fw_cfg            24576  0
vsock_loopback         16384  0
vmw_vsock_virtio_transport    24576  0
vmw_vsock_virtio_transport_common    57344  2 vsock_loopback,vmw_vsock_virtio_transport
vsock                  69632  5 vmw_vsock_virtio_transport_common,vsock_loopback,vmw_vsock_virtio_transport
virtio_console         49152  0
virtio_rng             16384  0
virtio_mmio            28672  0
virtio_blk             40960  2
squashfs              102400  0
erofs                 143360  1
dm_mod                241664  0
9pnet_virtio           24576  0
9p                     86016  0
9pnet                 110592  2 9p,9pnet_virtio
netfs                 602112  2 9p,9pnet
virtio_pci             61440  0
virtio_pci_legacy_dev    16384  1 virtio_pci
virtio_pci_modern_dev    24576  1 virtio_pci
virtiofs               40960  0
virtio                 32768  10 virtio_rng,virtio_mmio,virtio_console,virtiofs,9pnet_virtio,vmw_vsock_virtio_transport,virtio_gpu,virtio_pci,virtio_blk,virtio_net
virtio_ring            61440  11 virtio_rng,virtio_mmio,virtio_console,virtiofs,9pnet_virtio,vmw_vsock_virtio_transport,virtio_gpu,virtio_pci,virtio_blk,virtio,virtio_net
fuse                  278528  2 virtiofs
autofs4                65536  0
